agent;Item;ItemName;ItemDescription;CriterionName;CriterionValue
0;diesel_engine;Diesel Engine;A super cool diesel engine;PRODUCTION_COST;VERY_GOOD
0;diesel_engine;Diesel Engine;A super cool diesel engine;CONSUMPTION;GOOD
0;diesel_engine;Diesel Engine;A super cool diesel engine;DURABILITY;VERY_GOOD
0;diesel_engine;Diesel Engine;A super cool diesel engine;ENVIRONMENT_IMPACT;VERY_BAD
0;diesel_engine;Diesel Engine;A super cool diesel engine;NOISE;BAD
0;electric_engine;Electric Engine;A very quiet and ecofriendly engine;PRODUCTION_COST;BAD
0;electric_engine;Electric Engine;A very quiet and ecofriendly engine;CONSUMPTION;VERY_BAD
0;electric_engine;Electric Engine;A very quiet and ecofriendly engine;DURABILITY;GOOD
0;electric_engine;Electric Engine;A very quiet and ecofriendly engine;ENVIRONMENT_IMPACT;VERY_GOOD
0;electric_engine;Electric Engine;A very quiet and ecofriendly engine;NOISE;VERY_GOOD
1;diesel_engine;Diesel Engine;A super cool diesel engine;PRODUCTION_COST;GOOD
1;diesel_engine;Diesel Engine;A super cool diesel engine;CONSUMPTION;BAD
1;diesel_engine;Diesel Engine;A super cool diesel engine;DURABILITY;VERY_GOOD
1;diesel_engine;Diesel Engine;A super cool diesel engine;ENVIRONMENT_IMPACT;VERY_BAD
1;diesel_engine;Diesel Engine;A super cool diesel engine;NOISE;VERY_BAD
1;electric_engine;Electric Engine;A very quiet and ecofriendly engine;PRODUCTION_COST;GOOD
1;electric_engine;Electric Engine;A very quiet and ecofriendly engine;CONSUMPTION;BAD
1;electric_engine;Electric Engine;A very quiet and ecofriendly engine;DURABILITY;BAD
1;electric_engine;Electric Engine;A very quiet and ecofriendly engine;ENVIRONMENT_IMPACT;VERY_GOOD
1;electric_engine;Electric Engine;A very quiet and ecofriendly engine;NOISE;VERY_GOOD
